value,count,n_files,knoten_kandidat_n>=3,files
NIRAS,1,1,,Svanen_Kindergarten_Gladsaxe.md
"Tscherning, Ason A/S, Aksel V. Jensen",1,1,,Svanen_Kindergarten_Gladsaxe.md
Rijksvastgoedbedrijf / Central Government Real Estate Agency,1,1,,The_Green_House_Utrecht.md
R Creators,1,1,,The_Green_House_Utrecht.md
Pieters Bouwtechniek,1,1,,The_Green_House_Utrecht.md
Strukton Worksphere,1,1,,The_Green_House_Utrecht.md
Ballast Nedam,1,1,,The_Green_House_Utrecht.md
Kampstaal,1,1,,The_Green_House_Utrecht.md
De Groot & Visser,1,1,,The_Green_House_Utrecht.md
Bikubenfonden; Pihlmann Architects; Hoffmann A/S; ABC Rådgivende Ingeniører; Sara Martinsen; DTU Kristoffer Negendahl/Negeldahl,1,1,,Thoravej_29_Copenhagen.md
Artelia Group,1,1,,TRAE_High_Rise_Aarhus.md
"NREP, AG Gruppen, Lendager, MOE, Artelia, BOGL",1,1,,Upcycle_Studios_Copenhagen.md
AgwA,1,1,,Verbiest_Karreveld_Brussels.md
Evelia Macal,1,1,,Verbiest_Karreveld_Brussels.md
JZH & Partners,1,1,,Verbiest_Karreveld_Brussels.md
"Daidalos Peutz, Sixco",1,1,,Verbiest_Karreveld_Brussels.md
"Kahle Acoustics, Denis Dujardin",1,1,,Verbiest_Karreveld_Brussels.md
Pouvoir Organisateur Pluriel / POP,1,1,,Verbiest_Karreveld_Brussels.md
"Jan Jongert, Jeroen Bergsma, Team Superuse/2012Architecten",1,1,,Villa_Welpeloo_Enschede.md
"Bewohnerinitiative, Zayaz, Superuse Studios, Bouwbedrijf Versteegden, Transfarmers, VanNimwegen",1,1,,Woongroep_Boschgaard_Den_Bosch.md
Zinneke asbl,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
Rotor,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
Ouest Architecture,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
Matriciel,1,1,,Zinneke_Feder_Masui4ever_Brussels.md
asp_Architekten,1,1,,BOELL_LAB_Berlin.md
Heinrich_Boell_Stiftung,1,1,,BOELL_LAB_Berlin.md
WBM,1,1,,BOELL_LAB_Berlin.md
BIM_Berlin,1,1,,BOELL_LAB_Berlin.md
Stadt_Heilbronn,1,1,,ReUseBox_Heilbronn.md
