severity,category,element_id,labels,node_id,node_name,property,detail,value_sample
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17130,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153010565048697044,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17131,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153013863583580372,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17132,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153020460653347028,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17133,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155272260467032276,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17134,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153049047955669204,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17135,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153060043071946964,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17136,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153061142583574740,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17137,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1153063341606830292,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17138,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1155315141420515540,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17139,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1157566941234200788,,,Node has no non-empty name property.,
low,blank_list_property,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1714,"['Quelle', 'ExternalLink', 'ResearchDocument']",q_research_circular_construction_reuse_graph_gaps_url_ffa93583,f/waste/studies/deliverables/CDW_Belgium_Factsheet_Final.pdf,url_redirect_chain,Property is an empty list.,[]
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17140,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1159818741047886036,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17141,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1162070540861571284,,,Node has no non-empty name property.,
medium,missing_name,4:5f542910-8dcf-46a9-a77c-dfff0c64ee65:17142,['DataIssue'],di_source_url_review__5:5f542910-8dcf-46a9-a77c-dfff0c64ee65:1152988574816141525,,,Node has no non-empty name property.,
