property,nodes_with_property,label_count,labels,flags
note,9,6,Material:1; Norm:3; Programm:1; Software:3; Tool:1; Verbindungstechnik:1,core
baujahr,8,1,Bauwerk:8,
beschreibung,8,2,Beschaffungsweg:1; Ressourcenquelle:7,
datenqualitaet,8,2,Beschaffungsweg:1; Ressourcenquelle:7,
direct_reuse_relevant,8,1,Bauteilgruppe:8,
is_universal,8,1,RechtlicheBedingung:8,
scheme_kind,8,1,Zertifizierungssystem:8,
menge_t,7,1,Bauteilgruppe:7,
not_yet_referenced_in_corpus,7,2,Leistungsanforderung:2; Norm:5,known_legacy_review
standards_body,7,2,Norm:5; Schadstoff:2,
brand_position,6,1,Layer:6,
classified_reason,6,1,Programm:6,
import_status,6,1,Programm:6,
needs_project_file,6,1,Programm:6,
notes,6,1,BauwerkEra:6,
scope_system,6,1,Geltungsbereich:6,
scope_type,6,1,Geltungsbereich:6,
stub_note,6,1,RechtlicheBedingung:6,
en15978_code,5,1,LCAModule:5,
text_content_retry_attempted_at,5,2,Dossier:5; Quelle:5,
text_content_retry_result,5,2,Dossier:5; Quelle:5,
year_from,5,1,BauwerkEra:5,
year_to,5,1,BauwerkEra:5,
definition,4,2,Bausystem:3; Norm:1,
end_year,4,1,Programm:4,
is_parent_category,4,1,Aufbereitungsverfahren:4,
original_label,4,1,Programm:4,
quality_tier_computed_by,4,1,Programm:4,
quality_tier_has_components,4,1,Programm:4,
quality_tier_has_evidence,4,1,Programm:4,provenance_key
quality_tier_has_land,4,1,Programm:4,
quality_tier_has_metric,4,1,Programm:4,
quality_tier_has_year,4,1,Programm:4,
quality_tier_n_bg,4,1,Programm:4,
quality_tier_n_bg_quantified,4,1,Programm:4,
quality_tier_n_curated_evidence,4,1,Programm:4,provenance_key
start_year,4,1,Programm:4,
archive_mentioned_in_corpus,3,3,Leistungsanforderung:1; Material:1; PruefungNachweis:1,
archive_mentions,3,3,Leistungsanforderung:1; Material:1; PruefungNachweis:1,
lead_organisation,3,1,Programm:3,
legacy_rel_element_id,3,1,DataIssue:3,
repair_phase,3,2,Akteur:2; Norm:1,
repaired_at,3,2,Akteur:2; Norm:1,
wert_max,3,1,Kennwert:3,
wert_min,3,1,Kennwert:3,
eu_funding_programme,2,1,Programm:2,
actor_registry_order,1,1,Akteur:1,
akteur_kontext_text,1,1,Akteur:1,known_legacy_review
asbest_neshap_year,1,1,Land:1,
asbest_note,1,1,Land:1,
beschaffungsweg,1,1,Wiederverwendungskette:1,
demoted_legal_condition_ids,1,2,Quelle:1; ResearchDocument:1,
demoted_legal_condition_records,1,2,Quelle:1; ResearchDocument:1,
distanz_km,1,1,Wiederverwendungskette:1,
eu_contribution_eur,1,1,Programm:1,
funding_amount_eur,1,1,Programm:1,
funding_programme,1,1,Programm:1,
funding_source,1,1,Programm:1,provenance_key
funktion,1,2,Software:1; Tool:1,
grant_agreement_reference,1,1,Programm:1,
hinweis,1,1,OntologyAnchor:1,
kmf_grenzwert_jahr,1,1,Land:1,
legal_condition_demoted_at,1,2,Quelle:1; ResearchDocument:1,
legal_condition_demoted_by,1,2,Quelle:1; ResearchDocument:1,
legal_condition_evidence_basis,1,2,Quelle:1; ResearchDocument:1,provenance_key
legal_condition_evidence_confidence,1,2,Quelle:1; ResearchDocument:1,provenance_key
