"entity","id","typed_path","title","build_status","markdown_path","dateien_file_count","imported_source_count"
"akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__004__De_Vries_en_Verburg","akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__004__De_Vries_en_Verburg","De Vries en Verburg - BioPartner 5, Leiden / Oegstgeest — Fallstudie Direct Reuse / Wiederverwendung","promoted_phase42","_database/akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__004__De_Vries_en_Verburg/index.md","1","1"
"akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__005__Vic_Obdam_Staalbouw","akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__005__Vic_Obdam_Staalbouw","Vic Obdam Staalbouw - BioPartner 5, Leiden / Oegstgeest — Fallstudie Direct Reuse / Wiederverwendung","promoted_phase42","_database/akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__005__Vic_Obdam_Staalbouw/index.md","1","1"
"akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__006__Deerns","akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__006__Deerns","Deerns - BioPartner 5, Leiden / Oegstgeest — Fallstudie Direct Reuse / Wiederverwendung","promoted_phase42","_database/akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__006__Deerns/index.md","1","1"
"akteur_beteiligung","BioPartner_5_Leiden_Oegstgeest__007__STONE22","akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__007__STONE22","STONE22 - BioPartner 5, Leiden / Oegstgeest — Fallstudie Direct Reuse / Wiederverwendung","promoted_phase42","_database/akteur_beteiligung/BioPartner_5_Leiden_Oegstgeest__007__STONE22/index.md","1","1"
"akteur_beteiligung","BlueCity_Offices_Rotterdam__001__BlueCity_Superuse_Studios_COUP_Workspot_Floris_S","akteur_beteiligung/BlueCity_Offices_Rotterdam__001__BlueCity_Superuse_Studios_COUP_Workspot_Floris_S","BlueCity, Superuse Studios, COUP, Workspot, Floris Schiferli - BlueCity Offices Rotterdam – Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/BlueCity_Offices_Rotterdam__001__BlueCity_Superuse_Studios_COUP_Workspot_Floris_S/index.md","1","1"
"akteur_beteiligung","Boulder_Fire_Station_3__001__Davis_Partnership_Architects","akteur_beteiligung/Boulder_Fire_Station_3__001__Davis_Partnership_Architects","Davis Partnership Architects - Boulder Fire Station 3, Boulder, Colorado — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Boulder_Fire_Station_3__001__Davis_Partnership_Architects/index.md","1","1"
"akteur_beteiligung","Boulder_Fire_Station_3__002__KL_A_Engineers_and_Builders","akteur_beteiligung/Boulder_Fire_Station_3__002__KL_A_Engineers_and_Builders","KL&A Engineers and Builders - Boulder Fire Station 3, Boulder, Colorado — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Boulder_Fire_Station_3__002__KL_A_Engineers_and_Builders/index.md","1","1"
"akteur_beteiligung","Boulder_Fire_Station_3__003__Mark_Young_Construction","akteur_beteiligung/Boulder_Fire_Station_3__003__Mark_Young_Construction","Mark Young Construction - Boulder Fire Station 3, Boulder, Colorado — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Boulder_Fire_Station_3__003__Mark_Young_Construction/index.md","1","1"
"akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__001__Brent_Cross_South_Limited_Partnership","akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__001__Brent_Cross_South_Limited_Partnership","Brent Cross South Limited Partnership - Brent Cross Town Primary Substation, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__001__Brent_Cross_South_Limited_Partnership/index.md","1","1"
"akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__002__Related_Argent","akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__002__Related_Argent","Related Argent - Brent Cross Town Primary Substation, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__002__Related_Argent/index.md","1","1"
"akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__003__London_Borough_of_Barnet","akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__003__London_Borough_of_Barnet","London Borough of Barnet - Brent Cross Town Primary Substation, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__003__London_Borough_of_Barnet/index.md","1","1"
"akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__004__IF_DO","akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__004__IF_DO","IF_DO - Brent Cross Town Primary Substation, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__004__IF_DO/index.md","1","1"
"akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__005__Arup","akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__005__Arup","Arup - Brent Cross Town Primary Substation, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__005__Arup/index.md","1","1"
"akteur_beteiligung","Brent_Cross_Town_Primary_Substation_London__006__Whitby_Wood","akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__006__Whitby_Wood","Whitby Wood - Brent Cross Town Primary Substation, London — Fallstudie Direct Reuse / zirkuläres Bauen","promoted_phase42","_database/akteur_beteiligung/Brent_Cross_Town_Primary_Substation_London__006__Whitby_Wood/index.md","1","1"
