"legacy_path","exists","covered_after_phase5","action","target_primary","target_secondary"
"bericht\05_BIZH_Reallabor_detailed.md","True","True","archive_or_source","quelle/05_BIZH_Reallabor_detailed",""
"bericht\06_Haus_der_Materialisierung_detailed.md","True","True","archive_or_source","quelle/06_Haus_der_Materialisierung_detailed",""
"bericht\07_Kunst_Stoffe_Berlin_detailed.md","True","True","archive_or_source","quelle/07_Kunst_Stoffe_Berlin_detailed",""
"bericht\08_ZRS_Engineering_detailed.md","True","True","archive_or_source","quelle/08_ZRS_Engineering_detailed",""
"bericht\09_CRCLR_House_detailed.md","True","True","archive_or_source","quelle/09_CRCLR_House_detailed",""
"bericht\10_PARABASE_detailed.md","True","True","archive_or_source","quelle/10_PARABASE_detailed",""
"bericht\11_Rotor_Rotor_DC_detailed.md","True","True","archive_or_source","quelle/11_Rotor_Rotor_DC_detailed",""
"bericht\2021-Schweiz.md","True","True","archive_or_source","quelle/2021_Schweiz",""
"bericht\index.md","True","True","merge_into_index","quelle/index",""
"bericht\Research_Prompts_Entities_Obsidian.md","True","True","archive_or_source","quelle/Research_Prompts_Entities_Obsidian",""
"bericht\Ueberblick_Entwerfen_mit_Bestand_Kurzfassung.md","True","True","archive_or_source","quelle/Ueberblick_Entwerfen_mit_Bestand_Kurzfassung",""
"datenmodell.md","True","True","merge_into_index","datenmodell/index",""
"datenmodell\Bauteil_ID.md","True","True","move_as_knot","datenmodell/Bauteil_ID",""
"datenmodell\IFC.md","True","True","move_as_knot","datenmodell/IFC",""
"datenmodell\index.md","True","True","merge_into_index","datenmodell/index",""
"datenmodell\Klassifikation.md","True","True","move_as_knot","datenmodell/Klassifikation",""
"datenmodell\Materialpass_Schema.md","True","True","move_as_knot","datenmodell/Materialpass_Schema",""
"datenmodell\Ontologie.md","True","True","move_as_knot","datenmodell/Ontologie",""
"datenmodell\Taxonomie.md","True","True","move_as_knot","datenmodell/Taxonomie",""
"dirk-hebel.md","True","True","move_as_core","akteur/Dirk_Hebel","akteurtyp/Person"
"dokument.md","True","True","merge_into_index","dokumenttyp/index",""
"dokument\Auditbericht.md","True","True","move_as_knot","dokumenttyp/Auditbericht",""
"dokument\Ausschreibungstext.md","True","True","move_as_knot","dokumenttyp/Ausschreibungstext",""
"dokument\Bauteilkatalog.md","True","True","move_as_knot","dokumenttyp/Bauteilkatalog",""
"dokument\Bauwerksdiagnose.md","True","True","move_as_knot","dokumenttyp/Bauwerksdiagnose",""
"dokument\Bestandsaufnahme.md","True","True","move_as_knot","dokumenttyp/Bestandsaufnahme",""
"dokument\index.md","True","True","merge_into_index","dokumenttyp/index",""
"dokument\LCA.md","True","True","move_as_knot","dokumenttyp/LCA",""
"dokument\Materialdatenbank.md","True","True","move_as_knot","datenmodell/Materialdatenbank",""
"dokument\Materialinventar.md","True","True","move_as_knot","dokumenttyp/Materialinventar",""
"dokument\Materialpass.md","True","True","move_as_knot","dokumenttyp/Materialpass",""
"dokument\Materialsheet.md","True","True","move_as_knot","dokumenttyp/Materialsheet",""
"dokument\Opalis_Datenbank.md","True","True","move_as_knot","software_digitaltool/Opalis","datenmodell/Materialdatenbank"
"dokument\Pre_Demolition_Audit.md","True","True","move_as_knot","dokumenttyp/Pre_Demolition_Audit",""
"dokument\Publikation.md","True","True","move_as_knot","dokumenttyp/Publikation",""
"dokument\ReUse_Toolkit.md","True","True","move_as_knot","dokumenttyp/ReUse_Toolkit",""
"dokument\Reversibilitaetskonzept.md","True","True","move_as_knot","dokumenttyp/Reversibilitaetskonzept",""
"dokument\Rueckbaukataster.md","True","True","move_as_knot","dokumenttyp/Rueckbaukataster",""
"dokument\Specification_Method.md","True","True","move_as_knot","dokumenttyp/Specification_Method",""
"fallstudie.md","True","True","merge_into_index","fallstudie/index",""
"fallstudie\Be_Ware.md","True","True","keep_or_split_case","fallstudie/Be_Ware",""
"fallstudie\BIZH_Reallabor.md","True","True","keep_or_split_case","fallstudie/BIZH_Reallabor",""
"fallstudie\CRCLR_House.md","True","True","keep_or_split_case","fallstudie/CRCLR_House",""
"fallstudie\ELEMENTA.md","True","True","keep_or_split_case","fallstudie/ELEMENTA",""
"fallstudie\Halle_2.md","True","True","keep_or_split_case","fallstudie/Halle_2",""
"fallstudie\Haus_der_Materialisierung.md","True","True","keep_or_split_case","fallstudie/Haus_der_Materialisierung",""
"fallstudie\index.md","True","True","merge_into_index","fallstudie/index",""
"fallstudie\Kunst_Stoffe_Berlin.md","True","True","keep_or_split_case","fallstudie/Kunst_Stoffe_Berlin",""
"fallstudie\Opalis.md","True","True","keep_or_split_case","software_digitaltool/Opalis","fallstudie/Opalis_Plattformfall"
"fallstudie\Permanently_Temporary_Pavilion.md","True","True","keep_or_split_case","fallstudie/Permanently_Temporary_Pavilion",""
"fallstudie\PREUSE.md","True","True","keep_or_split_case","foerderprogramm/PREUSE","projekt/PREUSE"
"fallstudie\Rotor_DC_Brussels_Model.md","True","True","keep_or_split_case","fallstudie/Rotor_DC_Brussels_Model",""
